groundTruth,predicted
"
10/02/2014, 2014-2015, nan, nan, nan, ","
06/21/2013, 2012-2013, nan, nan, nan, "
"
nan, 58066.0, HP 4GB DDR3-1600 SODIMM, ","
nan, 58066.0, HP 4GB DDR3-1600 SODIMM, "
"
08/26/2014, nan, ","
08/27/2014, nan, "
"
2012-2013, nan, Student Aid Commission, Contractor will provide the operation of a California Student
Opportunity and Access Program (Cal Soap Project., $576337.00, ","
2012-2013, nan, Student Aid Commission, This amendment extends the contract term for one (1) year and increases the
contract total by $576337.00 to $576337."
"
IT Goods, nan, Consumer Affairs, Department of, 17224.0, nan, 4.0, 44101501.0, 95841
(38.662263, -121.346136), ","
IT Goods, nan, Consumer Affairs, Department of, 17224.0, nan, 1.0, 44101501.0, 95841
(38.662263"
"
FORK, 27112000.0, Hand tools, 27000000.0, Tools and General Machinery, ","
forks, 27112000.0, Hand tools, 27000000.0, Tools and General Machinery,"
"
07/28/2014, 4500213439, nan, $10.00, 15101506.0, ","
07/28/2014, 4500213439, nan, $10.00, 15101506.0, "
"
04/15/2014, nan, 25100000.0, ","
04/24/2014, nan, 25100000.0, "
"
2012-2013, nan, Formal Competitive, 1624380.0, nan, $50730.00, 85100000.0, ","
2012-2013, nan, Services are specifically exempt by statute, 1012526.0, nan"
"
nan, Correctional Health Care Services, McKesson Medical - Surgical Minnesota Su, 42000000.0, nan, ","
nan, Correctional Health Care Services, McKesson Medical - Surgical Minnesota Su, 42000000.0, nan, "
"
20682.0, Version3 Inc., vendor has new address, and on original purchase document, CMAS number
was not added., Software maintenance and support, ","
1249060.0, Western Blue/Insight/Hewlett Packard, 12-Port
                 "
"
WSCA/Coop, nan, ","
WSCA/Coop, nan, "
"
nan, nan, Office Equipment and Accessories and Supplies, ","
nan, nan, Office Equipment and Accessories and Supplies, "
"
","
"
"
Packet Fusion, Inc., 58.0, $329.00, ","
TonerImaging, 1.0, $19082.00, 

### "
"
09/18/2013, W000448, nan, Laundry mesh bag, 24111506.0, Laundry nets or bags, ","
09/18/2013, X0127, nan, laundry mesh bag, 24111506.0, Plastic bags,  bags,    "
"
1013057.0, NO, 31163300.0, Hardware, ","
1013057.0, NO, 31163300.0, Hardware, "
"
Informal Competitive, 1004667.0, rifle, ","
Informal Competitive, 1004667.0, rifle.2"
"
2012-2013, ","
2012-2013, "
"
1.0, 56121300.0, ","
1.0, 56121300.0, "
"
11/24/2014, 2014-2015, IT Goods, Informal Competitive, NO, Data management and query software, 43000000.0, ","
11/26/2014, 2014-2015, IT Goods, Informal Competitive, NO, Data management and query software, 43000000.0, "
"
nan, NO, ","
nan, NO, "
"
Information retrieval systems, ","
Information retrieval systems, "
"
Developmental Services, Department of, CA-MB CA-SB CA-SBE, stic pens, Ball point pens, ","
Developmental Services, Department of, CA-MB CA-SB CA-SBE, stic pens, Ball point pens, "
"
nan, nan, Financial assistance, 84100000.0, ","
nan, nan, Financial assistance, 84100000.0, "
"
04/22/2013, Transportation, Department of, 1524320.0, 1.0, ","
09/23/2012, Transportation, Department of, 1548260.0, 1.0, "
"
2.0, Software, ","
50.0, Software,"
"
Performance monitoring software tool, License management software, 43000000.0, ","
Performance monitoring software tool, License management software, 43000000.0, "
"
06/24/2015, 06/23/2015, 85101705.0, ","
04/21/2015, 02/25/2015, 85101705.0, "
"
nan, $19080.00, ","
nan, $5500.00,  "
"
11/21/2012, ","
11/20/2012, "
"
06/27/2014, NON-IT Goods, nan, ","
02/01/2014, NON-IT Goods, nan, "
"
nan, ","
nan, "
"
$0.00, Operating system software maintenance, ","
$0.00, Operating system software maintenance, "
"
Salisbury, Beef Patty, $630.00, Beef, minimally processed with additions, Minimally processed meat and poultry products, ","
Salisbury, Beef Patty, $600.00, Beef, minimally processed with additions, Minimally processed meat and poultry products, "
"
1-12-65-50, nan, nan, ","
1-12-65-50, nan, nan, "
"
12/06/2012, NON-IT Goods, 50192109, 50192109.0, 93720
(36.85932, -119.759328), ","
12/06/2012, NON-IT Goods, 50192109, 50192109.0, 93720
(36.85932, -119.759328),"
"
70141603, 70141603.0, Crop production and management and protection, ","
70141603, 70141603.0, Crop production and management and protection, "
"
Cleaning and disinfecting solutions, ","
Cleaning and disinfecting solutions, "
"
nan, 31000000.0, ","
nan, 31000000.0, "
"
nan, 95630, $9.00, 44111500.0, ","
nan, 95630, $9.00, 44111500.0, "
"
File Pocket, $8.25, ","
File pocket, Part AD"
"
06/17/2015, nan, $195.12, 44121506.0, Standard envelopes, ","
06/16/2015, nan, $245.48, 44121506.0, Standard envelopes, "
"
","
"
"
09/16/2014, nan, nan, 25101900.0, ","
08/16/2014, nan, nan, 25101900.0, "
"
nan, Rack systems for rack mount electronic equipment, ","
10/18/2013, Plastic bags,                              "
"
NON-IT Goods, labor fee, ","
NON-IT Goods, labor fee, "
"
State Programs, Misc. for Equip. 10R096, 15000000.0, ","
State Programs, Misc. for Equip. 10R096, 15000000.0, "
"
NMED530867146, CRP, ","
11-10239, Services a"
"
CA-MB CA-SB, NO, ","
CA-MB CA-SB, NO, "
"
23001.0, 90040, Creamer non-dairy, $650.00, ","
1256820.0, 90040, creamer, $750.00,      
  "
"
nan, Bridge Micro, $19250.00, ","
nan, Bridge Micro, $9600.00,  "
"
","
"
"
Environmental Health Hazard Assessment, Office of, NO, 43211804, ","
Environmental Health Hazard Assessment, Office of, NO, 43211804, "
"
nan, SB/DVBE Option, 1737337.0, Anchor Supply Inc, 95691-0493, NO, 40142020, 40142000.0, 40140000.0, 95691-0493
(38.575311, -121.560401), ","
nan, SB/DVBE Option, 1755530.0, TDM Supply, nan, NO, 40142020, 40142200.0, 40140000.0,"
"
MISCELLANEOUS FOOD ITEMS AND PRODUCE, 50112000.0, 50000000.0, ","
MICELLANEOUS FOOD ITEMS AND PRODUCE, 50112000.0, 50000000.0, 
"
"
CA-DVBE CA-SB CA-SBE CDVBE, ","
CA-DVBE CA-SB CA-SBE CDVBE, "
"
nan, nan, WBE, 1.0, ","
nan, nan, nan, 1.0, "
"
nan, 86101605.0, Medical vocational training services, ","
nan, 86101605.0, Medical vocational training services, "
"
03/01/2013, 1249060.0, NO, ","
03/04/2013, 1249060.0, NO, "
"
","
"
"
12/27/2010, 93151512.0, ","
06/10/2013, 93151512.0, "
"
nan, CONFIDENTIAL - Information Withheld, NO, $15500.00, ","
nan, CONFIDENTIAL - Information Withheld, NO, $15500.00, "
"
NON-IT Goods, Radio frequency data communication equipment, ","
NON-IT Goods, Radio frequency data communication equipment, "
"
95605, 1.0, 82111900.0, 95605
(38.593168, -121.536548), ","
95826, 1.0, 82111900.0, 95826
(38.550166, -121.37657), 
"
"
","
"
"
285.0, ","
2.0, 
 "
"
11/19/2012, WSCA/Coop, servers, $0.00, $0.00, Single sided circuit cards, ","
11/21/2012, WSCA/Coop, iDRAC7 Enterprise, $1733.60, $5734.80, Dynamic rand"
"
State Programs, Fleet, Gasoline or Petrol, ","
State Programs, Fleet, Gasoline or Petrol, "
"
Statewide Contract, 73101701, 73101700.0, ","
Statewide Contract, 73101701, 73101700.0, "
"
04/29/2015, 15101500.0, ","
04/29/2015, 15101500.0, "
"
1423640.0, Electrochemical measuring instruments and accessories, ","
1208302.0, Humidity and moisture measuring instruments,    

### R"
"
AIRGAS NCN, 12140000.0, Elements and gases, Chemicals including Bio Chemicals and Gas Materials, ","
COMMUNICATIONS, 12140000.0, Elements and gases, Chemicals including Bio Chemicals and Gas Materia"
"
","
"
"
2012-2013, 45044.0, $11603.40, 43211902.0, ","
2012-2013, 23836.0, $11600.60, 43211902.0, "
"
NON-IT Goods, 1001584.0, 1.0, ","
NON-IT Goods, 1001584.0, 1.0, "
"
02/11/2013, 2013-2014, Child Support Services, Department of, $7419.00, 43230000.0, ","
02/10/2014, 2013-2014, Child Support Services, Department of, $5891.50, 43230000.0, "
"
nan, 1-11-70-04O, Consumer Affairs, Department of, Smile Business Products, Inc, nan, ","
nan, 1-11-70-04Q, Consumer Affairs, Department of, Smile Business Products, Inc, nan, "
"
11A2116, NO, $47885.00, ","
12B-5743, NO, $47885.00,"
"
1-13-70-02A, nan, HP 230W Docking Station, 24112412
43211503
43211602
81111818
76122408, 24000000.0, Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies, ","
1-13-70-02A, nan, Docking Station, 24112412, 24000000.0, Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies"
"
05/05/2015, 05/05/2015, nan, nan, 44102610, Typing machines and accessories, ","
06/25/2015, 06/24/2015, nan, nan, 44102610, Typing machines, 

### Response:
"
"
Adolph Inc., Dried russet potatoes, 50425600.0, 50420000.0, 93720
(36.85932, -119.759328), ","
Adolph Inc., Dried russet potatoes, 50425600.0, 50420000.0, 93720
(36.85932, -119.7593"
"
50181708.0, 50181700.0, 50000000.0, ","
50181708.0, 50181700.0, 50000000.0, "
"
10803.0, ","
10803.0, "
"
500-08-047, Automotive Thermoelectric HVAC Development and Demonstration Project, 85141500.0, Alternative and holistic medicine, ","
12YS0022, Automotive Thermoelectric HVAC Development and Demonstration Project, 85141500.0, Alternative and holistic medicine,   "
"
SB/DVBE Option, 46181901, 46181901.0, ","
SB/DVBE Option, 46181902
53102513, 461"
"
$22939.51, ","
$22939.51, "
"
Personal Services, 76121500.0, ","
Public Works, 76121500.0,      "
"
nan, 76122408, Refuse disposal and treatment fees, Refuse disposal and treatment, Industrial Cleaning Services, ","
nan, 76122408, Refuse disposal and treatment fees, Refuse disposal and treatment, Industrial Cleaning Services, "
"
Statewide Contract, 17224.0, Smile Business Products, Inc, 1.0, ","
Statewide Contract, 17224.0, Smile Business Products, Inc, 1.0, "
"
04/24/2015, ","
04/24/2015, "
"
nan, Statewide Contract, Correctional Health Care Services, 95814, 44103103, ","
nan, Statewide Contract, Correctional Health Care Services, 95814, 44103103, "
"
25984.0, NO, Office supplies, 44000000.0, ","
25984.0, NO, Office supplies, 44000000.0, "
"
S4856308, ","
S4856308, "
"
10/03/2014, nan, 835, nan, California State University, Sacramento, $34994.00, 80161502.0, Meeting planning services, ","
10/04/2014, nan, 020D4015, nan, State Personnel Board, $34994.00, 80161502.0, Government antitrust or regulations law "
"
95811
(38.581053, -121.488564), ","
95811
(38.581053, -121.488564), "
"
95628, Vertical Ergo Mouse, Live animals, ","
95628, Vertical Ergo Mouse, Live animals, "
"
06/07/2013, 4500198630, State Programs, 78000000.0, ","
06/06/2013, 4500198630, State Programs, 78000000.0, "
"
81112200.0, Engineering and Research and Technology Based Services, ","
81112200.0, Engineering and Research and Technology Based Services, "
"
2UI4J793, 96009, ","
1UI4F816, 96009, "
"
nan, Informal Competitive, nan, $384.84, Personal care products, nan, ","
nan, Fair and Reasonable, nan, $364.68, Personal care products, nan, 
"
"
10/17/2014, nan, 72101500.0, Building maintenance and repair services, 72000000.0, ","
02/12/2015, nan, 72101500.0, Building maintenance and repair services, 72000000.0, "
"
","
"
"
05/06/2014, 1PA3Y015, Fair and Reasonable, GASOLINE, 15000000.0, ","
04/07/2014, 4PA3C939, Fair and Reasonable, UNLEADED GASOLINE, 150"
"
Informal Competitive, ","
Informal Competitive, "
"
04/08/2015, 2014-2015, 41122003
53102306, ","
04/08/2015, 2014-2015, 41122003,  

### Re"
"
12/22/2014, nan, 14111507.0, ","
02/27/2015, nan, 14111507.0, "
"
NON-IT Services, California Department of Corrections and Rehabilitation, Division of
Juvenile Justice (CDCR/DJJ) agree to provide EMERGENCY CUSTODY
 for case referrals from Juvenile or Criminal Courts to the
  COUNTY OF SAN MATEO
 as described herein., $0.00, ","
NON-IT Services, County of San Mateo will provide housing, services and coordination of
emergency housing needs to inmates referred for such services from the California
Department of Corrections and Rehab"
"
nan, Informal Competitive, 31112.0, 200.0, $2340.00, ","
nan, SB/DVBE Option, 31112.0, 4.0, $47.80,    

### R"
"
95691
(38.575311, -121.560401), ","
95691
(38.575311, -121.560401), "
"
Information retrieval systems, ","
Information retrieval systems, "
"
Contractor shall provide CDFA services related to online selection
services, exam service for shared-cost examinations, medical officer
services, test validation, construction services, and statewide training services., 1.0, $63611.00, Food or agriculture organization services, nan, ","
Facility - HRB, 1.0, $63611.00, Food or agriculture organization services, nan, 

### Response:
Facility - HRB, 1"
"
nan, Light trucks or sport utility vehicles, Commercial and Military and Private Vehicles and their Accessories and Components, ","
nan, Light trucks or sport utility vehicles, Commercial and Military and Private Vehicles and their Accessories and Components, "
"
nan, 2.0, ","
nan, 8.0, "
"
Statewide Contract, $4838.07, ","
Statewide Contract, $3095.16, "
"
IT Services, ","
IT Services, "
"
nan, nan, NON-IT Goods, nan, Professionally prepared carryout meals, Restaurants and catering, ","
nan, nan, NON-IT Goods, nan, Professionally prepared carryout meals, Restaurants and catering, "
"
4500250271, nan, NO, CAKE MIX, LEMON, ","
4500250296, nan, NO, CAKE MIX, LEMON, "
"
04/05/2013, nan, ","
03/05/2013, nan, "
"
CA-MB CA-SB, emergency equipment rental, ","
nan, Dozer/transports,    transport,     "
"
2013-2014, 1-11-87-17D, nan, 1.0, $24391.25, Live Plant and Animal Material and Accessories and Supplies, ","
2013-2014, 1-12-65-65-01-E, nan, 1.0, $24391.25, Live Plant and Animal Material and Accessories and Suppli"
"
NON-IT Services, 91324, 1.0, 91324
(34.239004, -118.549618), ","
NON-IT Services, 91324, 1.0, 91324
(34.239004, -118.549618), "
"
nan, The Swenson Group, Inc, Annual Maintenance cost $1536.00 includes supplies, 15,000 copies per month; @ $, 81112201, 81112201.0, ","
nan, LexisNexis Matthew Bender, Annual Maintenance Cost $1536.00, 81112201
81112202
81112203, 81112201."
"
Software maintenance, Software maintenance, ","
ITEM#: 52679, Software Maintenance, 
       "
"
nan, 42181605.0, 42180000.0, ","
nan, 42181605.0, 42180000.0, "
"
46191600.0, ","
46191600.0, "
"
Christian Bartels Enterprises Inc. dba CB Enterprises, Coleslaw, ","
Christian Bartels Enterprises Inc. dba CB Enterprises, Coleslaw, "
"
nan, Statewide Contract, Defense and Law Enforcement and Security and Safety Equipment and Supplies, ","
nan, Statewide Contract, Defense and Law Enforcement and Security and Safety Equipment and Supplies, "
"
General Services, Department of, SEVEN ISLAND PAINTING INC, 1.0, 30161509
72141510
86131502
72153002, 30161509.0, Gypsum board, Structures and Building and Construction and Manufacturing Components and Supplies, ","
General Services, Department of, Ammonia Construction, Inc., 1.0, 30161512, 30161512.0, Stone, Structures and Building and Construction and Manufacturing"
"
2012-2013, ","
2012-2013, "
"
nan, 73529, Furniture, ","
nan, 73529, Furniture, "
"
08/11/2014, 06/19/2014, Tires and tire tubes, Commercial and Military and Private Vehicles and their Accessories and Components, ","
06/11/2015, 06/10/2015, Tires and tire tubes, Commercial and Military and Private Vehicles and their Accessories and Components, "
"
nan, nan, ","
nan, nan, "
"
Fair and Reasonable, Corrections and Rehabilitation, Department of, 1065902.0, Peanut Butter, $8784.00, Seeds and bulbs and seedlings and cuttings, ","
Informal Competitive, Corrections and Rehabilitation, Department of, 1065902.0, Peanut Butter, $8784.00, Seeds and bulbs and seedlings and cuttings"
"
10/31/2013, $4690.00, Labels, ","
10/31/2013, $4690.00, Labels, "
"
04/09/2013, 07-65845, ","
04/03/2013, 07-65845, "
"
Color Ribbon, YMCKK: Full-Color Ribbon w/ 2 resin blk panels 500 Images - DTC4500, 10.0, 44102002.0, ","
TECHANIC LAPTOP PIPE, TECHANIC LAPTOP PIPE, 40.0, 44102002.0, 

### Response:
"
"
04/16/2014, nan, nan, Targus wireless numeric keypad, AKP11US, Information Technology Broadcasting and Telecommunications, ","
05/20/2014, nan, nan, Targus wireless numeric keypad, AKP11US, Information Technology Broadcasting and Telecommunications, "
"
nan, Industry specific software, ","
nan, Industry specific software, "
"
NON-IT Goods, nan, SB/DVBE Option, 40000000.0, ","
NON-IT Goods, nan, Informal Competitive, 400000"
"
Defense and Law Enforcement and Security and Safety Equipment and Supplies, ","
Defense and Law Enforcement and Security and Safety Equipment and Supplies, "
"
nan, 43210000.0, ","
nan, 43210000.0, "
"
91105, Guard services, ","
91105, Guard services, "
"
06/27/2014, 06/27/2014, ","
02/27/2014, 02/26/2014, "
"
Public Works, SB/DVBE Option, $219680.00, Transportation components and systems, ","
Public Works, SB/DVBE Option, $219680.00, Transportation components and systems, "
"
Hardware, ","
Hardware, "
"
4500197248, 1743406.0, $113.00, ","
4500197248, 1743406.0, $113.00, "
"
4500261127, FEEDING MATERIALS; APRON, SPORK, COPPER PADS, RUBBER GLOVES, METAL FORK,
INSULATED MUG, PLASTIC SOUP BOWL, ZIPLOCK BAG, SEALING TAPE, ETC., ","
4500260863, FEEDING MATERIALS,      
        
         "
"
07/30/2013, Formal Competitive, nan, NO, $191.00, ","
07/31/2013, Informal Competitive, nan, NO, $191.00"
"
Smile Business Products, Inc, $0.00, $0.00, 81000000.0, ","
Smile Business Products, Inc, $34.25, $1675.00, 81000000"
"
","
"
"
Statewide Contract, Towels, ","
Statewide Contract, Towels, "
"
","
"
"
03/19/2014, Consulting services to conduct assessment of WSI Portal Architecture and
assist DMV personnel with perfroming tasks requried to optimize its
stability and performance., 1.0, $56309.16, 80101507, Information technology consultation services, ","
05/10/2014, WSI PORTAL ARCHITECTURE ASSESSESKIT
      
     
    "
"
05/20/2015, nan, 92648, ","
05/12/2015, nan, 92648, "
"
nan, State Programs, 42152113, Denture base forming kits, 42152100.0, ","
nan, State Programs, 42152113, Dental impression boards or accessories"
"
nan, 95841, 1.0, ","
nan, 95841, 1.0, "
"
Paramount Anesthesia Associates Inc, nan, nan, ","
Anesthesiology Services of Northern California,"
"
NON-IT Goods, Correctional Health Care Services, 1763613.0, 44000000.0, ","
NON-IT Goods, Correctional Health Care Services, 1763613.0, 44000000.0, "
"
BEVERAGE BASE, Powdered drink mix, ","
BEVERAGE BASE, Powdered drink mix, "
"
Public Health, Department of, Housing Authority of the County of Fresno, ","
Public Health, Department of, Life Technologies Corp,   dba Life Technolo"
"
1743406.0, 78180000.0, ","
1743406.0, 78180000.0, "
"
Portable Prefabricated commercial and industrial structures, 30230000.0, ","
Portable commercial and industrial structures, 30230000.0,   

### Respon"
"
4500203205, LABEL/TAPE,CARTRIDGE, $240.00, ","
4500203108, LABEL/TAPE,CARTRIDGE, $240.00, "
"
44103103.0, ","
44103103.0, "
"
2013-2014, NON-IT Goods, Communications Devices and Accessories, ","
2013-2014, NON-IT Goods, Communications Devices and Accessories, "
"
03/02/2015, nan, NO, ","
02/27/2015, nan, NO, "
"
2014-2015, 78181507, Automotive and light truck maintenance and repair, 95691
(38.575311, -121.560401), ","
2014-2015, 78181507, Automotive and light truck maintenance and repair, 95691
(38.575311, -121.560401), "
"
NO, ","
NO, "
"
2013-2014, nan, $835.80, Office machines and their supplies and accessories, ","
2013-2014, nan, $772.60, Office machines and their supplies and accessories, "
"
nan, 50131611, 50131611.0, ","
nan, 50131606, 50131606.0, "
"
nan, 50.0, ","
nan, 6.0,  "
"
Legal assistance services, ","
Legal assistance services, "
"
Manufacturing Components and Supplies, ","
Manufacturing Components and Supplies, "
"
REQ0012969, nan, 5.0, Printer or facsimile toner, 44100000.0, ","
REQ0012969, nan, 2.0, Printer or facsimile toner, 44100000.0, "
"
nan, 92-63-7416, 1743305.0, NO, 1.0, ","
nan, 13C760004, 1757010.0, NO, 1.0, 
"
"
CA-MB CA-SB, NO, $5790.25, ","
CA-SB, NO, $5790.25,    

#"
"
$3416.35, 81141504, ","
$3416.35, 81141504, "
"
$14.35, Wall anchors, 31160000.0, 92111
(32.806185, -117.167384), ","
$10.49, Anchor screws, 31160000.0, 92111
(32.806185, -117.167384),"
"
04/08/2015, 1065902.0, 56111900.0, 95696
(38.43, -122.02), ","
04/08/2015, 1065902.0, 56111900.0, 95696
(38.43, -122.02), "
"
Emergency Contract, Forestry and Fire Protection, Department of, 15101505.0, 15101500.0, ","
Emergency Contract, Forestry and Fire Protection, Department of, 15101505.0, 15101500.0, "
"
1001584.0, NO, ","
1001584.0, NO, "
"
11/06/2012, Specialized warehousing and storage, ","
05/05/2013, Specialized warehousing and storage, "
"
nan, nan, 46181500.0, ","
nan, nan, 46181500.0, "
"
20101601
23131512
24112412
41111603
24111514
41111525, 20101601.0, 20000000.0, ","
20111614, 20111614.0, 20000000.0, 
### Response:
20111614
23101512
23151901
251"
"
05/22/2014, 12205.0, Superior Produce, Inc., Nectarines, ","
05/23/2014, 12205.0, Superior Produce, Inc., Nectarines, "
"
nan, NON-IT Goods, 1001584.0, $4360.00, 27000000.0, ","
nan, NON-IT Goods, 1001584.0, $37200.00, 27000000.0,"
"
2012-2013, nan, 81101508.0, Civil engineering, ","
2012-2013, nan, 81101508.0, Civil engineering, "
"
1788426.0, 2.0, Printer and facsimile and photocopier supplies, ","
1755556.0, 10.0, Printer and facsimile and photocopier supplies,"
"
2013-2014, H9-1314-07, NON-IT Services, Subvention and Local Assistance, 94553
(37.990808, -122.129782), ","
2013-2014, 13-20001, NON-IT Services, Personal Services, 94553
(37.990808, -122.129782), 

### Response:"
"
2012-2013, NO, 1.0, ","
2012-2013, NO, 1.0, "
"
TAGG Industries, Inc., 56101500.0, ","
TAGG Industries, Inc., 56101500.0, "
"
NON-IT Goods, nan, nan, 52121500.0, Bedclothes, ","
NON-IT Goods, nan, nan, 52121500.0, Bedclothes, "
"
nan, In service training and manpower development, ","
nan, In service training and manpower development, "
"
State Hospitals, Department of, McKesson Medical - Surgical Minnesota Su, ","
State Hospitals, Department of, McKesson Medical - Surgical Minnesota Su, "
"
95852, GAUZE 2X2 8PLY PERF NS 200EA/PK 25PK/CS MCK BRAND, ","
95852, GAUZE 2X2 8PLY PERF NS 200EA/PK 25PK/CS MCK BRAND, "
"
95691, $216.00, ","
95691, $216.00, "
"
1731830.0, CA-MB CA-SB, 42181609.0, ","
1731830.0, CA-MB CA-SB, 42181609.0, "
"
NO, $52000.00, $52000.00, ","
NO, $9000.00, $9000.00,   "
"
03/19/2013, 03/19/2013, ","
04/16/2013, 04/16/2013, "
"
05/30/2013, nan, Maytex Corporation, LAB COATS/GLOVES LOT, 42130000.0, ","
05/31/2013, nan, AAA Wholesale Co. Inc., DISPOSABLE LAB COATS, 42130000"
"
nan, ","
nan, "
"
nan, nan, 32.0, ","
nan, nan, 10.0, "
"
$350.00, nan, ","
$35.00, nan, 
"
"
2014-2015, REQ0008081, HP LJ5550 Transfer Kit, 43211612.0, ","
2014-2015, REQ0014707, HP LJ5550 Transfer Kit, 43211612.0, "
"
08/07/2012, Correctional Health Care Services, ","
08/07/2012, Correctional Health Care Services, "
"
nan, mattress cotton core, 52121500.0, ","
nan, mattress, 52121500.0,         

##"
"
2014-2015, Food Beverage and Tobacco Products, ","
2014-2015, Food Beverage and Tobacco Products, "
"
09/30/2013, nan, ","
09/30/2013, nan, "
"
Justice, Department of, NO, ","
Justice, Department of, NO, "
"
01/01/2014, Services are specifically exempt by policy, 81112200.0, ","
12/09/2013, Services are specifically exempt by statute, 81112200.0,"
"
nan, nan, PWR-C1-440WDC/2  440W DC Config 1, 95134
(37.410635, -121.940949), ","
nan, nan, PWR-C1-440WDC/2  440W DC Config 1, 95134
(37.410635, -121.940949),"
"
nan, nan, 29911.0, ","
nan, nan, 29911.0, "
"
","
"
"
","
"
"
40141607.0, 93309
(35.341212, -119.065592), ","
40141607.0, 93309
(35.341212, -119.065592), "
"
09/26/2013, 09/25/2013, Voyager Fleet Systems Inc, Fuels, ","
09/05/2013, 09/04/2013, Voyager Fleet Systems Inc, Fuels, "
"
Correctional Health Care Services, Medical facility products, ","
Correctional Health Care Services, Medical facility products, "
"
02/12/2014, 02/12/2014, nan, 1.0, nan, ","
05/09/2014, 05/09/2014, nan, 1.0, nan, "
"
50000000.0, ","
50000000.0, "
"
2014-2015, Chairs, ","
2014-2015, Chairs, "
"
2013-2014, ","
2013-2014, "
"
2014-2015, nan, REQ0014470, 1.0, 86101810, ","
2014-2015, nan, REQ0014470, 1.0, 86101810, "
"
NON-IT Services, Unknown, ","
NON-IT Services, Unknown, "
"
08/15/2014, Flooring, $26792.00, ","
07/25/2014, Contractor will provi"
"
nan, nan, $972.50, Peppers, Fresh vegetables, 50000000.0, Food Beverage and Tobacco Products, ","
nan, nan, $972.50, Peppers, Fresh vegetables, 50000000.0, Food Beverage and Tobacco Products, "
"
4500248526, nan, KEYS , LOCKS ETC, $8408.00, ","
4500249531, nan, LOCKS, KEYS ETC, $8408.00,  "
"
nan, NO, Paper Materials and Products, ","
nan, NO, Paper Materials and Products, "
"
","
"
"
Asphalt, Asphalts, 30120000.0, Structures and Building and Construction and Manufacturing Components and Supplies, ","
Asphalt, Asphalts, 30120000.0, Structures and Building and Construction and Manufacturing Components and Supplies, "
"
1-14-84-07, VEST STAB, ","
1-14-84-07, vest stab, "
"
","
"
"
4500287099, nan, fresh produce, fresh produce, $1.00, 50301501, 50000000.0, ","
4500287901, nan, apple, apple, $1.00, 50301501, 50000000.0, 

### Response:
"
"
nan, nan, Shirts and blouses, 53000000.0, ","
nan, nan, Shirts and blouses, 53000000.0, "
"
nan, Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies, ","
nan, Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies, "
"
03/05/2015, HQ 14-00335, 58704.0, 1.0, 81112306, ","
02/01/2015, 14-00333, 1569700.0, 1.0, 81112306, 
"
"
2013-2014, DANIELS TIRE SERVICE, tire stock, ","
2013-2014, DANIELS TIRE SERVICE, tires,  tire"
"
08/15/2014, nan, $992.20, 42171909, Emergency medical services storage cases and bags, ","
08/15/2014, nan, $990.20, 42171909, Emergency medical services storage cases and bags, "
"
nan, NON-IT Services, ","
nan, NON-IT Services, "
"
IT Goods, Software maintenance and support, 81000000.0, ","
IT Goods, Software maintenance and support, 81000000.0, "
"
50-63-5535, WBE, $1500.88, ","
30-63-2021, WBE, $1625.76, "
"
95691, 42281801, 95691
(38.575311, -121.560401), ","
95691, 42281801, 95691
(38.575311, -121.560401), "
"
09/24/2014, nan, 32819
(28.459203, -81.472312), ","
06/30/2014, nan, 32819
(28.961704, -82.515816), "
"
CA-SB CA-SBE DBE MBE SB WBE, ","
CA-SB, 
CA-SBE WBE, 
### Resp"
"
2014-2015, 4500246837, Bag filters, 40160000.0, Distribution and Conditioning Systems and Equipment and Components, ","
2014-2015, 4500247845, Aluminum pipe, 40160000.0, Distribution and Conditioning Systems and Equipment and Components"
"
Water Resources, Department of, $35.36, 95827
(38.563097, -121.328511), ","
Water Resources, Department of, $91.48, 95827
(38.563097, -121.328511), "
"
2013-2014, NON-IT Goods, nan, 95838, US-2200 Battery, 6 V,  Golf Car & Multi Puropse; 59lbs, Length: 10.25, Width: 7., 39121454, 39121400.0, 95838
(38.642566, -121.442478), ","
2013-2014, NON-IT Goods, nan, 92108, Deionized Rechargeable Rechargeable Battery for the Laserjet, 39121454
43201552, 39"
"
SA-217-13FT, Informal Competitive, 55000000.0, ","
12-GCC-088, SB/DVBE Option, 55000000.0, 
, 
###"
"
50202311, Powdered drink mix, ","
50202311, Powdered drink mix, "
"
Informal Competitive, Joint expansion, curing compounds and sealant., $9922.15, ","
Informal Competitive, Joint expansion, curing compounds and sealant., $9922.15, "
"
24000000.0, ","
24000000.0, "
"
Corrections and Rehabilitation, Department of, CA-MB CA-SB, NO, 40151557.0, Pumps, ","
Corrections and Rehabilitation, Department of, CA-MB CA-SB, NO, 40151557.0, Pumps, "
"
nan, 1743406.0, 15100000.0, ","
nan, 1743406.0, 15100000.0, "
"
13-501-0004, nan, Medical Equipment and Accessories and Supplies, ","
1350610A39, nan, Medical Equipment and Accessories and Supplies, 
"
"
CA-SB, ","
CA-SB, "
"
2014-2015, 44101505.0, Digital duplicators, 44101500.0, ","
2014-2015, 44101505.0, Digital duplicators, 44101500.0, "
